,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
308,AP,16.0,600.0,Santana,121364
309,AP,16.0,709.0,Tartarugalzinho,17315
310,AP,16.0,808.0,Vitória do Jari,15931
311,TO,17.0,251.0,Abreulândia,2579
312,TO,17.0,301.0,Aguiarnópolis,6733
313,TO,17.0,350.0,Aliança do Tocantins,5390
314,TO,17.0,400.0,Almas,7055
315,TO,17.0,707.0,Alvorada,8412
316,TO,17.0,1002.0,Ananás,9549
317,TO,17.0,1051.0,Angico,3433
318,TO,17.0,1101.0,Aparecida do Rio Negro,4795
319,TO,17.0,1309.0,Aragominas,5758
320,TO,17.0,1903.0,Araguacema,7086
321,TO,17.0,2000.0,Araguaçu,8517
322,TO,17.0,2109.0,Araguaína,180470
323,TO,17.0,2158.0,Araguanã,5729
324,TO,17.0,2208.0,Araguatins,35761
325,TO,17.0,2307.0,Arapoema,6643
326,TO,17.0,2406.0,Arraias,10567
327,TO,17.0,2554.0,Augustinópolis,18412
328,TO,17.0,2703.0,Aurora do Tocantins,3757
329,TO,17.0,2901.0,Axixá do Tocantins,9756
330,TO,17.0,3008.0,Babaçulândia,10664
331,TO,17.0,3057.0,Bandeirantes do Tocantins,3553
332,TO,17.0,3073.0,Barra do Ouro,4591
333,TO,17.0,3107.0,Barrolândia,5632
334,TO,17.0,3206.0,Bernardo Sayão,4459
335,TO,17.0,3305.0,Bom Jesus do Tocantins,4894
336,TO,17.0,3602.0,Brasilândia do Tocantins,2201
337,TO,17.0,3701.0,Brejinho de Nazaré,5497
338,TO,17.0,3800.0,Buriti do Tocantins,11348
339,TO,17.0,3826.0,Cachoeirinha,2275
340,TO,17.0,3842.0,Campos Lindos,10116
341,TO,17.0,3867.0,Cariri do Tocantins,4382
342,TO,17.0,3883.0,Carmolândia,2580
343,TO,17.0,3891.0,Carrasco Bonito,4095
344,TO,17.0,3909.0,Caseara,5369
345,TO,17.0,4105.0,Centenário,2905
346,TO,17.0,4600.0,Chapada de Areia,1406
347,TO,17.0,5102.0,Chapada da Natividade,3333
348,TO,17.0,5508.0,Colinas do Tocantins,35424
349,TO,17.0,5557.0,Combinado,4852
350,TO,17.0,5607.0,Conceição do Tocantins,4105
351,TO,17.0,6001.0,Couto Magalhães,5588
352,TO,17.0,6100.0,Cristalândia,7289
353,TO,17.0,6258.0,Crixás do Tocantins,1722
354,TO,17.0,6506.0,Darcinópolis,6097
355,TO,17.0,7009.0,Dianópolis,22139
356,TO,17.0,7108.0,Divinópolis do Tocantins,6900
357,TO,17.0,7207.0,Dois Irmãos do Tocantins,7198
358,TO,17.0,7306.0,Dueré,4686
359,TO,17.0,7405.0,Esperantina,10996
360,TO,17.0,7553.0,Fátima,3835
361,TO,17.0,7652.0,Figueirópolis,5263
362,TO,17.0,7702.0,Filadélfia,8856
363,TO,17.0,8205.0,Formoso do Araguaia,18440
364,TO,17.0,8254.0,Tabocão,2589
365,TO,17.0,8304.0,Goianorte,5123
366,TO,17.0,9005.0,Goiatins,13019
367,TO,17.0,9302.0,Guaraí,25923
368,TO,17.0,9500.0,Gurupi,86647
369,TO,17.0,9807.0,Ipueiras,2015
370,TO,17.0,10508.0,Itacajá,7433
371,TO,17.0,10706.0,Itaguatins,5864
372,TO,17.0,10904.0,Itapiratins,3777
373,TO,17.0,11100.0,Itaporã do Tocantins,2427
374,TO,17.0,11506.0,Jaú do Tocantins,3849
